Unnamed: 0,_project,_record_id,_latitude,_longitude,address_no,address_name,address_city,address_municipality,address_state,address_postal_code,hazards_present,wind_speed_ms,wind_damage_rating,surge_damage_rating,year_built,building_code,roof_shape,roof_shape_std,roof_cover,roof_cover_std,number_of_stories,first_floor_elevation_m,fenestration_protection,roof_structure_damage,roof_substrate_damage,roof_cover_damage,wall_structure_damage,wall_substrate_damage,wall_cladding_damage,large_door_present,large_door_failure,fenestration_avg,wind_speed_ms_705,wind_speed_ms_710,wind_speed_ms_716,design_wind_speed,wind_speed_ratio,z0_mean,z0_min,Record ID,0°,45°,90°,135°,180°,225°,270°,315°
0,Tornado Joplin,a740ea3c-7335-4a66-a47a-df884be976ea,37.066352,-94.531372,2230,S Harlem Ave,Joplin,Joplin,MO,64804,Wind,43.92906641,2,0,1900,Unknown,gable,Gable,3-tab,Other,1,0,,0,0,5,0,0,15,no,No,5,51,51,49,51,0.861354243,0.262334132,0.226590391,a740ea3c-7335-4a66-a47a-df884be976ea,0.2539866,0.24533101,0.262125371,0.255408394,0.318974603,0.28655819,0.249698497,0.226590391
1,Tornado Joplin,769b0d03-664e-4438-8565-c9aa97f99ee5,37.065858,-94.531378,2310,S Harlem Ave,Joplin,Joplin,MO,64804,Wind,48.22456093,3,0,1905,Unknown,hip/gable,Combo,3-tab,Other,1,0,,10,5,20,0,0,15,yes,Yes,15,51,51,49,51,0.945579626,0.262658694,0.227563347,769b0d03-664e-4438-8565-c9aa97f99ee5,0.251856122,0.245454563,0.261516777,0.257303426,0.321044117,0.284658783,0.251872417,0.227563347
2,Tornado Joplin,20383476-9aae-46fa-8195-3d746cefc287,37.06556,-94.531277,2318,S Harlem Ave,Joplin,Joplin,MO,64804,Wind,50.86896076,4,0,1995,BOCA NBC 1990,hip/gable,Combo,3-tab,Other,1,0,,80,30,70,0,25,30,yes,Yes,25,51,51,49,51,0.997430603,0.264352142,0.224987963,20383476-9aae-46fa-8195-3d746cefc287,0.257695891,0.247776844,0.265777603,0.262928464,0.326944219,0.283019628,0.245686526,0.224987963
3,Tornado Joplin,a1d4bb79-c558-42b9-a2e5-f1e1f93a1e57,37.065403,-94.531556,2324,S Harlem Ave,Joplin,Joplin,MO,64804,Wind,50.86896076,4,0,1915,Unknown,hip/gable,Combo,unclassified asphlat shingle,Other,1,0,,100,100,100,0,0,5,yes,Yes,15,51,51,49,51,0.997430603,0.263508342,0.226679118,a1d4bb79-c558-42b9-a2e5-f1e1f93a1e57,0.255334261,0.249163895,0.264235363,0.261971087,0.310591462,0.288703201,0.25138835,0.226679118
4,Tornado Joplin,c62e52d3-4c2a-4211-abaa-d453c95123bb,37.061079,-94.540733,2631,S Oliver Ave,Joplin,Joplin,MO,64804,Wind,77.72580316,4,0,1972,BOCA BBC 1970,hip/gable,Combo,unclassified asphlat shingle,Other,1,0,,100,100,100,95,100,100,yes,Yes,25,51,51,49,51,1.524035356,0.261674907,0.168088183,c62e52d3-4c2a-4211-abaa-d453c95123bb,0.244242245,0.247107238,0.267982187,0.306222568,0.325960755,0.28876545,0.245030634,0.168088183
5,Tornado Joplin,7fadaaa9-2cfb-402c-b45a-e3d6be39997c,37.063846,-94.529793,2431,S Porter Ave,Joplin,Joplin,MO,64804,Wind,72.96225299,4,0,1900,Unknown,hip/gable,Combo,unclassified asphlat shingle,Other,2,0,,100,80,80,100,100,100,yes,Yes,25,51,51,49,51,1.430632412,0.265498692,0.218211878,7fadaaa9-2cfb-402c-b45a-e3d6be39997c,0.250360167,0.248657748,0.266536604,0.267657883,0.314820877,0.30537976,0.252364618,0.218211878
6,Tornado Joplin,f82c315d-2614-43f3-a1de-e063bea9bae0,37.059211,-94.54212,2221,W 29th St,Joplin,Joplin,MO,64804,Wind,66.05289828,4,0,2003,IRC 2000,hip/gable,Combo,laminated,Asphalt shingles,1,0,,100,100,100,100,100,100,yes,Yes,25,51,51,49,51,1.295154868,0.264234581,0.180460256,f82c315d-2614-43f3-a1de-e063bea9bae0,0.25582138,0.244418921,0.286945955,0.305340071,0.282170558,0.308866917,0.249852588,0.180460256
7,Tornado Joplin,50f782ef-1911-4235-a972-c3829333fc42,37.065676,-94.54044,2320,S Willard Ave,Joplin,Joplin,MO,64804,Wind,41.63581452,4,0,1992,BOCA NBC 1990,hip,Hip,3-tab,Other,1,0,,20,15,15,0,0,0,no,No,15,51,51,49,51,0.81638852,0.259351302,0.188793011,50f782ef-1911-4235-a972-c3829333fc42,0.236096317,0.249892061,0.267471027,0.266089561,0.361947523,0.265624148,0.23889677,0.188793011
8,Tornado Joplin,69eba404-a56c-458f-9e23-7ce85db148d9,37.057569,-94.551323,3030,Sunset S Dr,Joplin,Joplin,MO,64804,Wind,75.67103901,4,0,2004,IRC 2000,gable,Gable,laminated,Asphalt shingles,1,0,,100,100,100,65,75,90,yes,Yes,25,51,51,49,51,1.483745863,0.258434677,0.164576023,69eba404-a56c-458f-9e23-7ce85db148d9,0.207525903,0.245248363,0.27465171,0.322156486,0.298332131,0.31630396,0.238682837,0.164576023
9,Tornado Joplin,3a09cbd3-6b92-41e3-895f-7500e6e34de6,37.058913,-94.542175,2222,W 29th St,Joplin,Joplin,MO,64804,Wind,61.87440391,4,0,1996,BOCA NBC 1990,hip/gable,Combo,laminated,Asphalt shingles,1,0,,50,50,60,0,0,20,yes,Yes,10,51,51,49,51,1.213223606,0.263369778,0.185593855,3a09cbd3-6b92-41e3-895f-7500e6e34de6,0.25553129,0.244029912,0.288452824,0.306573363,0.265153522,0.31219127,0.249432186,0.185593855
